更新时间: 2026-04-11 05:03:42（北京时间）

更新时间,#genre#
2026-04-11 05:03:42,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://27.10.95.231:4022/rtp/225.0.4.74:7980$重庆市联通
CCTV1,http://115.171.216.58:4000/rtp/225.1.8.1:8008$北京市电信
CCTV1,http://27.14.208.229:8000/rtp/225.0.4.74:7980$重庆市联通
CCTV1,http://180.173.121.65:9999/rtp/233.18.204.52:5140$上海市电信
CCTV1,http://171.8.84.159:8800/rtp/239.16.20.1:10010$河南电信
CCTV1,http://116.237.61.115:4022/rtp/233.18.204.52:5140$上海市电信
CCTV1,http://106.116.240.74:9999/rtp/239.254.200.45:8008$河北省电信
CCTV2,http://27.10.95.231:4022/rtp/225.0.4.132:7980$重庆市联通
CCTV2,http://115.171.216.58:4000/rtp/225.1.8.2:8084$北京市电信
CCTV2,http://27.14.208.229:8000/rtp/225.0.4.132:7980$重庆市联通
CCTV2,http://180.173.121.65:9999/rtp/233.18.204.68:5140$上海市电信
CCTV2,http://171.8.84.159:8800/rtp/239.16.20.2:10020$河南电信
CCTV2,http://116.237.61.115:4022/rtp/233.18.204.68:5140$上海市电信
CCTV2,http://106.116.240.74:9999/rtp/239.254.200.158:6000$河北省电信
CCTV3,http://27.10.95.231:4022/rtp/225.0.4.142:7980$重庆市联通
CCTV3,http://115.171.216.58:4000/rtp/225.1.8.88:8000$北京市电信
CCTV3,http://27.14.208.229:8000/rtp/225.0.4.142:7980$重庆市联通
CCTV3,http://180.173.121.65:9999/rtp/233.18.204.69:5140$上海市电信
CCTV3,http://171.8.84.159:8800/rtp/239.16.20.3:10030$河南电信
CCTV3,http://116.237.61.115:4022/rtp/233.18.204.69:5140$上海市电信
CCTV3,http://106.116.240.74:9999/rtp/239.254.201.152:7205$河北省电信
CCTV4,http://27.10.95.231:4022/rtp/225.0.4.176:7980$重庆市联通
CCTV4,http://115.171.216.58:4000/rtp/225.1.8.4:8092$北京市电信
CCTV4,http://27.14.208.229:8000/rtp/225.0.4.176:7980$重庆市联通
CCTV4,http://180.173.121.65:9999/rtp/233.18.204.70:5140$上海市电信
CCTV4,http://171.8.84.159:8800/rtp/239.16.20.4:10040$河南电信
CCTV4,http://116.237.61.115:4022/rtp/233.18.204.70:5140$上海市电信
CCTV4,http://106.116.240.74:9999/rtp/239.254.200.190:6307$河北省电信
CCTV4欧洲,http://106.116.240.74:9999/rtp/239.254.201.205:4220$河北省电信
CCTV4美洲,http://106.116.240.74:9999/rtp/239.254.201.206:4220$河北省电信
CCTV5,http://27.10.95.231:4022/rtp/225.0.4.143:7980$重庆市联通
CCTV5,http://115.171.216.58:4000/rtp/225.1.8.89:8000$北京市电信
CCTV5,http://27.14.208.229:8000/rtp/225.0.4.143:7980$重庆市联通
CCTV5,http://180.173.121.65:9999/rtp/233.18.204.71:5140$上海市电信
CCTV5,http://171.8.84.159:8800/rtp/239.16.20.53:10530$河南电信
CCTV5,http://116.237.61.115:4022/rtp/233.18.204.71:5140$上海市电信
CCTV5,http://106.116.240.74:9999/rtp/239.254.201.153:7206$河北省电信
CCTV5+,http://27.10.95.231:4022/rtp/225.0.4.73:7980$重庆市联通
CCTV5+,http://115.171.216.58:4000/rtp/225.1.8.20:8004$北京市电信
CCTV5+,http://27.14.208.229:8000/rtp/225.0.4.73:7980$重庆市联通
CCTV5+,http://180.173.121.65:9999/rtp/233.18.204.67:5140$上海市电信
CCTV5+,http://171.8.84.159:8800/rtp/239.16.20.5:10050$河南电信
CCTV5+,http://116.237.61.115:4022/rtp/233.18.204.67:5140$上海市电信
CCTV5+,http://106.116.240.74:9999/rtp/239.254.200.46:8004$河北省电信
CCTV6,http://27.10.95.231:4022/rtp/225.0.4.144:7980$重庆市联通
CCTV6,http://115.171.216.58:4000/rtp/225.1.8.84:8000$北京市电信
CCTV6,http://27.14.208.229:8000/rtp/225.0.4.144:7980$重庆市联通
CCTV6,http://180.173.121.65:9999/rtp/233.18.204.72:5140$上海市电信
CCTV6,http://171.8.84.159:8800/rtp/239.16.20.6:10060$河南电信
CCTV6,http://116.237.61.115:4022/rtp/233.18.204.72:5140$上海市电信
CCTV6,http://106.116.240.74:9999/rtp/239.254.201.154:7207$河北省电信
CCTV7,http://27.10.95.231:4022/rtp/225.0.4.127:7980$重庆市联通
CCTV7,http://115.171.216.58:4000/rtp/225.1.8.7:8104$北京市电信
CCTV7,http://27.14.208.229:8000/rtp/225.0.4.127:7980$重庆市联通
CCTV7,http://180.173.121.65:9999/rtp/233.18.204.73:5140$上海市电信
CCTV7,http://171.8.84.159:8800/rtp/239.16.20.51:10510$河南电信
CCTV7,http://116.237.61.115:4022/rtp/233.18.204.73:5140$上海市电信
CCTV7,http://106.116.240.74:9999/rtp/239.254.200.159:6000$河北省电信
CCTV8,http://27.10.95.231:4022/rtp/225.0.4.137:7980$重庆市联通
CCTV8,http://115.171.216.58:4000/rtp/225.1.8.85:8000$北京市电信
CCTV8,http://27.14.208.229:8000/rtp/225.0.4.137:7980$重庆市联通
CCTV8,http://180.173.121.65:9999/rtp/233.18.204.74:5140$上海市电信
CCTV8,http://171.8.84.159:8800/rtp/239.16.20.8:10080$河南电信
CCTV8,http://116.237.61.115:4022/rtp/233.18.204.74:5140$上海市电信
CCTV8,http://106.116.240.74:9999/rtp/239.254.201.155:7208$河北省电信
CCTV9,http://27.10.95.231:4022/rtp/225.0.4.131:7980$重庆市联通
CCTV9,http://115.171.216.58:4000/rtp/225.1.8.9:8112$北京市电信
CCTV9,http://27.14.208.229:8000/rtp/225.0.4.131:7980$重庆市联通
CCTV9,http://180.173.121.65:9999/rtp/233.18.204.75:5140$上海市电信
CCTV9,http://171.8.84.159:8800/rtp/239.16.20.9:10090$河南电信
